1.0-Entropy,Accuracy,Coverage,F1Measure,actual_discrim_set_size,actual_num_trials,algorithm,alpha,beta,cluster similarity threshold,dataset,epsilon,estimated_discrim_set_size,estimated_trials,experiment_ID,maxiter,minqual,num_clusters,pca,quality_max,quality_mean,quality_median,quality_min,quality_std_dev,runtime_clustering_sec,runtime_metrics_sec,subspace similarity threshold,width
0.572917,0.651042,1.000000,0.784771,2.000000,18718.000000,MOCCA,0.05,0.25,0.25,/scratch/scratch95/h/hoffer/data/diabetes.arff,0.0050,1.000000,18718.000000,44,0,0.0,384.000000,y,32768.000000,32768.000000,32768.000000,32768.000000,0.000000,7.000000,1.000000,0.1,0.01
0.502822,0.579710,0.976812,0.753188,2.000000,10053.000000,MOCCA,0.05,0.25,0.0,/scratch/scratch95/h/hoffer/data/liver.arff,0.0050,1.000000,10053.000000,57,0,0.0,162.000000,y,4096.000000,2130.172840,2048.000000,2048.000000,301.494777,3.000000,0.000000,0.25,0.01
0.502822,0.579710,0.976812,0.753188,2.000000,10053.000000,MOCCA,0.05,0.25,0.05,/scratch/scratch95/h/hoffer/data/liver.arff,0.0050,1.000000,10053.000000,61,0,0.0,162.000000,y,4096.000000,2130.172840,2048.000000,2048.000000,301.494777,3.000000,0.000000,0.25,0.01
0.572917,0.651042,1.000000,0.784771,2.000000,18718.000000,MOCCA,0.05,0.25,0.0,/scratch/scratch95/h/hoffer/data/diabetes.arff,0.0050,1.000000,18718.000000,56,0,0.0,384.000000,y,32768.000000,32768.000000,32768.000000,32768.000000,0.000000,8.000000,1.000000,0.25,0.01
0.502822,0.579710,0.976812,0.753188,2.000000,10053.000000,MOCCA,0.05,0.25,0.1,/scratch/scratch95/h/hoffer/data/liver.arff,0.0050,1.000000,10053.000000,65,0,0.0,162.000000,y,4096.000000,2130.172840,2048.000000,2048.000000,301.494777,3.000000,0.000000,0.25,0.01
0.572917,0.651042,1.000000,0.784771,2.000000,18718.000000,MOCCA,0.05,0.25,0.05,/scratch/scratch95/h/hoffer/data/diabetes.arff,0.0050,1.000000,18718.000000,60,0,0.0,384.000000,y,32768.000000,32768.000000,32768.000000,32768.000000,0.000000,8.000000,1.000000,0.25,0.01
0.572917,0.651042,1.000000,0.784771,2.000000,18718.000000,MOCCA,0.05,0.25,0.1,/scratch/scratch95/h/hoffer/data/diabetes.arff,0.0050,1.000000,18718.000000,64,0,0.0,384.000000,y,32768.000000,32768.000000,32768.000000,32768.000000,0.000000,9.000000,1.000000,0.25,0.01
0.502822,0.579710,0.976812,0.753188,2.000000,10053.000000,MOCCA,0.05,0.25,0.15,/scratch/scratch95/h/hoffer/data/liver.arff,0.0050,1.000000,10053.000000,69,0,0.0,162.000000,y,4096.000000,2130.172840,2048.000000,2048.000000,301.494777,3.000000,0.000000,0.25,0.01
0.513639,0.579710,1.000000,0.742565,2.000000,10053.000000,MOCCA,0.05,0.25,1.0,/scratch/scratch95/h/hoffer/data/liver.arff,0.0050,1.000000,10053.000000,25,0,0.0,9276.000000,y,4096.000000,2095.027167,2048.000000,2048.000000,215.409921,35.000000,9.000000,-1.0,0.01
0.502822,0.579710,0.976812,0.753188,2.000000,10053.000000,MOCCA,0.05,0.25,0.25,/scratch/scratch95/h/hoffer/data/liver.arff,0.0050,1.000000,10053.000000,73,0,0.0,162.000000,y,4096.000000,2130.172840,2048.000000,2048.000000,301.494777,3.000000,0.000000,0.25,0.01
0.572917,0.651042,1.000000,0.784771,2.000000,18718.000000,MOCCA,0.05,0.25,0.15,/scratch/scratch95/h/hoffer/data/diabetes.arff,0.0050,1.000000,18718.000000,68,0,0.0,384.000000,y,32768.000000,32768.000000,32768.000000,32768.000000,0.000000,10.000000,1.000000,0.25,0.01
0.572917,0.651042,1.000000,0.784771,2.000000,18718.000000,MOCCA,0.05,0.25,0.25,/scratch/scratch95/h/hoffer/data/diabetes.arff,0.0050,1.000000,18718.000000,72,0,0.0,384.000000,y,32768.000000,32768.000000,32768.000000,32768.000000,0.000000,8.000000,1.000000,0.25,0.01
0.513639,0.579710,1.000000,0.742565,2.000000,10053.000000,MOCCA,0.05,0.25,0.8,/scratch/scratch95/h/hoffer/data/liver.arff,0.0050,1.000000,10053.000000,21,0,0.0,9276.000000,y,4096.000000,2095.027167,2048.000000,2048.000000,215.409921,34.000000,8.000000,-1.0,0.01
0.502822,0.579710,0.976812,0.753188,2.000000,10053.000000,MOCCA,0.05,0.25,0.0,/scratch/scratch95/h/hoffer/data/liver.arff,0.0050,1.000000,10053.000000,85,0,0.0,162.000000,y,4096.000000,2130.172840,2048.000000,2048.000000,301.494777,3.000000,0.000000,0.5,0.01
0.502822,0.579710,0.976812,0.753188,2.000000,10053.000000,MOCCA,0.05,0.25,0.05,/scratch/scratch95/h/hoffer/data/liver.arff,0.0050,1.000000,10053.000000,89,0,0.0,162.000000,y,4096.000000,2130.172840,2048.000000,2048.000000,301.494777,3.000000,0.000000,0.5,0.01
0.502822,0.579710,0.976812,0.753188,2.000000,10053.000000,MOCCA,0.05,0.25,0.1,/scratch/scratch95/h/hoffer/data/liver.arff,0.0050,1.000000,10053.000000,93,0,0.0,162.000000,y,4096.000000,2130.172840,2048.000000,2048.000000,301.494777,4.000000,0.000000,0.5,0.01
0.572917,0.651042,1.000000,0.784771,2.000000,18718.000000,MOCCA,0.05,0.25,0.0,/scratch/scratch95/h/hoffer/data/diabetes.arff,0.0050,1.000000,18718.000000,84,0,0.0,384.000000,y,32768.000000,32768.000000,32768.000000,32768.000000,0.000000,7.000000,1.000000,0.5,0.01
0.502822,0.579710,0.976812,0.753188,2.000000,10053.000000,MOCCA,0.05,0.25,0.15,/scratch/scratch95/h/hoffer/data/liver.arff,0.0050,1.000000,10053.000000,97,0,0.0,162.000000,y,4096.000000,2130.172840,2048.000000,2048.000000,301.494777,3.000000,0.000000,0.5,0.01
0.513639,0.579710,1.000000,0.742565,2.000000,10053.000000,MOCCA,0.05,0.25,0.8,/scratch/scratch95/h/hoffer/data/liver.arff,0.0050,1.000000,10053.000000,49,0,0.0,9276.000000,y,4096.000000,2095.027167,2048.000000,2048.000000,215.409921,34.000000,8.000000,0.1,0.01
0.572917,0.651042,1.000000,0.784771,2.000000,18718.000000,MOCCA,0.05,0.25,0.05,/scratch/scratch95/h/hoffer/data/diabetes.arff,0.0050,1.000000,18718.000000,88,0,0.0,384.000000,y,32768.000000,32768.000000,32768.000000,32768.000000,0.000000,7.000000,1.000000,0.5,0.01
0.572917,0.651042,1.000000,0.784771,2.000000,18718.000000,MOCCA,0.05,0.25,0.1,/scratch/scratch95/h/hoffer/data/diabetes.arff,0.0050,1.000000,18718.000000,92,0,0.0,384.000000,y,32768.000000,32768.000000,32768.000000,32768.000000,0.000000,9.000000,1.000000,0.5,0.01
0.572917,0.651042,1.000000,0.784771,2.000000,18718.000000,MOCCA,0.05,0.25,0.15,/scratch/scratch95/h/hoffer/data/diabetes.arff,0.0050,1.000000,18718.000000,96,0,0.0,384.000000,y,32768.000000,32768.000000,32768.000000,32768.000000,0.000000,7.000000,1.000000,0.5,0.01
0.513639,0.579710,1.000000,0.742565,2.000000,10053.000000,MOCCA,0.05,0.25,1.0,/scratch/scratch95/h/hoffer/data/liver.arff,0.0050,1.000000,10053.000000,53,0,0.0,9276.000000,y,4096.000000,2095.027167,2048.000000,2048.000000,215.409921,41.000000,10.000000,0.1,0.01
0.513639,0.579710,1.000000,0.742565,2.000000,10053.000000,MOCCA,0.05,0.25,0.8,/scratch/scratch95/h/hoffer/data/liver.arff,0.0050,1.000000,10053.000000,77,0,0.0,9276.000000,y,4096.000000,2095.027167,2048.000000,2048.000000,215.409921,35.000000,9.000000,0.25,0.01
0.513639,0.579710,1.000000,0.742565,2.000000,10053.000000,MOCCA,0.05,0.25,1.0,/scratch/scratch95/h/hoffer/data/liver.arff,0.0050,1.000000,10053.000000,81,0,0.0,9276.000000,y,4096.000000,2095.027167,2048.000000,2048.000000,215.409921,148.000000,26.000000,0.25,0.01
0.545755,0.651042,1.000000,0.758687,2.000000,18718.000000,MOCCA,0.05,0.25,0.8,/scratch/scratch95/h/hoffer/data/diabetes.arff,0.0050,1.000000,18718.000000,20,0,0.0,18140.000000,y,32768.000000,32768.000000,32768.000000,32768.000000,0.000000,101.000000,35.000000,-1.0,0.01
0.545755,0.651042,1.000000,0.758687,2.000000,18718.000000,MOCCA,0.05,0.25,1.0,/scratch/scratch95/h/hoffer/data/diabetes.arff,0.0050,1.000000,18718.000000,24,0,0.0,18140.000000,y,32768.000000,32768.000000,32768.000000,32768.000000,0.000000,98.000000,37.000000,-1.0,0.01
0.545755,0.651042,1.000000,0.758687,2.000000,18718.000000,MOCCA,0.05,0.25,1.0,/scratch/scratch95/h/hoffer/data/diabetes.arff,0.0050,1.000000,18718.000000,52,0,0.0,18140.000000,y,32768.000000,32768.000000,32768.000000,32768.000000,0.000000,135.000000,43.000000,0.1,0.01
0.545755,0.651042,1.000000,0.758687,2.000000,18718.000000,MOCCA,0.05,0.25,1.0,/scratch/scratch95/h/hoffer/data/diabetes.arff,0.0050,1.000000,18718.000000,80,0,0.0,18140.000000,y,32768.000000,32768.000000,32768.000000,32768.000000,0.000000,350.000000,136.000000,0.25,0.01
0.545755,0.651042,1.000000,0.758687,2.000000,18718.000000,MOCCA,0.05,0.25,0.8,/scratch/scratch95/h/hoffer/data/diabetes.arff,0.0050,1.000000,18718.000000,76,0,0.0,18140.000000,y,32768.000000,32768.000000,32768.000000,32768.000000,0.000000,134.000000,43.000000,0.25,0.01
0.545755,0.651042,1.000000,0.758687,2.000000,18718.000000,MOCCA,0.05,0.25,0.8,/scratch/scratch95/h/hoffer/data/diabetes.arff,0.0050,1.000000,18718.000000,48,0,0.0,18140.000000,y,32768.000000,32768.000000,32768.000000,32768.000000,0.000000,92.000000,35.000000,0.1,0.01
0.502822,0.579710,0.976812,0.753188,2.000000,10053.000000,MOCCA,0.05,0.25,0.25,/scratch/scratch95/h/hoffer/data/liver.arff,0.0050,1.000000,10053.000000,101,0,0.0,162.000000,y,4096.000000,2130.172840,2048.000000,2048.000000,301.494777,4.000000,0.000000,0.5,0.01
0.572917,0.651042,1.000000,0.784771,2.000000,18718.000000,MOCCA,0.05,0.25,0.25,/scratch/scratch95/h/hoffer/data/diabetes.arff,0.0050,1.000000,18718.000000,100,0,0.0,384.000000,y,32768.000000,32768.000000,32768.000000,32768.000000,0.000000,8.000000,1.000000,0.5,0.01
0.545755,0.651042,1.000000,0.758687,2.000000,18718.000000,MOCCA,0.05,0.25,0.8,/scratch/scratch95/h/hoffer/data/diabetes.arff,0.0050,1.000000,18718.000000,104,0,0.0,18140.000000,y,32768.000000,32768.000000,32768.000000,32768.000000,0.000000,101.000000,34.000000,0.5,0.01
0.502822,0.579710,0.976812,0.753188,2.000000,10053.000000,MOCCA,0.05,0.25,0.0,/scratch/scratch95/h/hoffer/data/liver.arff,0.0050,1.000000,10053.000000,113,0,0.0,162.000000,y,4096.000000,2130.172840,2048.000000,2048.000000,301.494777,3.000000,0.000000,0.8,0.01
